Entidad,original_address,formatted_address,lat,lng,confidence
MUNICIPALIDAD DISTRITAL DE HUANGASCAR,PERU LIMA AV. 28 DE JULIO KM.45,"Av. 28 de Julio, Lima, Peru",-12.0627478,-77.0262624,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE SAN CRISTOBAL - PICOTA,PERU SAN MARTIN PLAZA DE ARMAS S/N,Peru,-9.189967,-75.015152,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE HUAYANA,PERU APURIMAC PLAZA DE ARMAS,"Apurimac, Peru",-14.0504533,-73.087749,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE CHOCOS,PERU LIMA PLAZA DE ARMAS Nº1,"X22P+446 Plaza de Armas Santa Anita, Santa Anita 15009, Peru",-12.0497222,-76.9647222,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE ANCASH - UNIDAD DE GESTION EDUCATIVA DE CORONGO,PERU ANCASH JR. LIMA NRO 600,"Jr. Lima, Peru",-9.4565778,-78.2851158,GEOMETRIC_CENTER
